netflix_condense table contents

title;type;listed_in;rating;country;date_added;release_year;duration
"7 Yards: The Chris Norton Story";Movie;Documentaries;TV-PG;"United States";30-Mar-21;2021;"93 min"
"Rainbow High";"TV Show";"Kids' TV";TV-Y;"United States";30-Mar-21;2020;"1 Season"
Lawless;Movie;Dramas;R;"United States";28-Mar-21;2012;"116 min"
"A Week Away";Movie;"Children & Family Movies, Faith & Spirituality, Music & Musicals";TV-PG;"United States";26-Mar-21;2021;"98 min"
"Bad Trip";Movie;Comedies;TV-MA;"United States";26-Mar-21;2021;"87 min"
"Big Time Rush";"TV Show";"Kids' TV";TV-G;"United States";26-Mar-21;2013;"4 Seasons"
"DOTA: Dragon's Blood";"TV Show";"Anime Series";TV-MA;"United States";25-Mar-21;2021;"1 Season"
Seaspiracy;Movie;Documentaries;TV-14;"United States";24-Mar-21;2021;"90 min"
"Jiu Jitsu";Movie;"Action & Adventure";R;"United States";20-Mar-21;2020;"102 min"
"Country Comfort";"TV Show";"TV Comedies";TV-PG;"United States";19-Mar-21;2021;"1 Season"
"Deadly Illusions";Movie;Thrillers;R;"United States";18-Mar-21;2021;"115 min"
"Nate Bargatze: The Greatest Average American";Movie;"Stand-Up Comedy";TV-G;"United States";18-Mar-21;2021;"60 min"
"The Fluffy Movie";Movie;"Stand-Up Comedy";PG-13;"United States";18-Mar-21;2014;"101 min"
"Operation Varsity Blues: The College Admissions Scandal";Movie;Documentaries;R;"United States";17-Mar-21;2021;"100 min"
Savages;Movie;"Dramas, Thrillers";R;"United States";16-Mar-21;2012;"131 min"
"Waffles + Mochi";"TV Show";"Kids' TV";TV-Y;"United States";16-Mar-21;2021;"1 Season"
"The Last Blockbuster";Movie;Documentaries;TV-14;"United States";15-Mar-21;2020;"87 min"
"Paradise PD";"TV Show";"TV Comedies";TV-MA;"United States";12-Mar-21;2021;"3 Seasons"
"YES DAY";Movie;"Children & Family Movies, Comedies";PG;"United States";12-Mar-21;2021;"90 min"
"The Block Island Sound";Movie;"Horror Movies, Independent Movies";TV-MA;"United States";11-Mar-21;2020;"99 min"
"City of Ghosts";"TV Show";"Kids' TV";TV-Y7;"United States";5-Mar-21;2021;"1 Season"
Parker;Movie;"Action & Adventure";R;"United States";4-Mar-21;2013;"119 min"
"Safe Haven";Movie;"Dramas, Romantic Movies";PG-13;"United States";4-Mar-21;2013;"116 min"
Moxie;Movie;"Comedies, Dramas, Music & Musicals";PG-13;"United States";3-Mar-21;2021;"112 min"
"Murder Among the Mormons";"TV Show";"Crime TV Shows, Docuseries";TV-14;"United States";3-Mar-21;2021;"1 Season"
"Black or White";Movie;Dramas;PG-13;"United States";2-Mar-21;2014;"121 min"
"Word Party";"TV Show";"Kids' TV";TV-Y;"United States";2-Mar-21;2021;"5 Seasons"
"Biggie: I Got a Story to Tell";Movie;"Documentaries, Music & Musicals";R;"United States";1-Mar-21;2021;"98 min"
"LEGO Marvel Spider-Man: Vexed by Venom";Movie;"Children & Family Movies, Comedies";TV-Y;"United States";1-Mar-21;2019;"22 min"
"Rain Man";Movie;"Classic Movies, Dramas";R;"United States";1-Mar-21;1988;"134 min"
Q-Force;"TV Show";"Crime TV Shows, TV Action & Adventure, TV Comedies";TV-MA;"United States";2-Sep-21;2021;"1 Season"
"Captain Fantastic";Movie;"Comedies, Dramas, Independent Movies";R;"United States";26-Feb-21;2016;"119 min"
"Our Idiot Brother";Movie;"Comedies, Dramas, Independent Movies";R;"United States";26-Feb-21;2011;"90 min"
"Age of Samurai: Battle for Japan";"TV Show";"Docuseries, International TV Shows";TV-MA;"United States";24-Feb-21;2021;"1 Season"
"Canine Intervention";"TV Show";"Reality TV";TV-PG;"United States";24-Feb-21;2021;"1 Season"
